ledger,accounting_doc_number,company_code,fiscal_year,posting_item_number,line_item_number,business_trans_type,business_trans_type_desc,ref_procedure,logical_system,ref_org_unit,ref_doc_number,ref_doc_line_item,ref_doc_group,ref_object_key,posting_date,doc_date,ref_doc_number2,trans_curr,company_curr,group_curr,doc_text,exchange_rate,group_exchange_rate,group_exchange_rate_type,doc_type,doc_type_desc,translation_date,trans_code,ref_key1,ref_key2,chart_of_accounts,gl_account_number,offset_gl_account_number,offset_account_type,posting_key,doc_status,item_category,trans_key,user_name,utc_timestamp,gl_account_type,item_text,assignment_number,purchase_order_category,purchase_order_number,purchase_doc_item_number,sales_order_number,sales_order_item_number,material_number,plant,vendor_number,customer_number,controlling_area,profit_center,cost_center,asset_main_number,asset_sub_number,asset_value_date,asset_trans_type,open_item_flag,clearing_date,clearing_doc_number,clearing_fiscal_year,tax_on_sales,account_type,debit_credit_ind,special_gl_ind,payment_term_key,payment_term_desc,baseline_date,co_unit_measure,co_quantity,base_unit_measure,quantity,reversing_flag,reversed_flag,true_reversal_flag,reversal_ref_trans,reversal_ref_org,reversal_ref_doc_number,balance_trans_amount,trans_amount,company_curr_amount,group_curr_amount,prcs_data_dt,prcs_ins_dttm,prcs_ins_nm,prcs_ins_rn_id,prcs_upd_dttm,prcs_upd_nm,prcs_upd_rn_id
0L,5100008183,1000,2020,1,1,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200009750,1,1,5.20001E+13,01/12/2020,19/11/2020,30/4415,THB,THB,THB,11200012,1,1,M,RE,Invoice/CN/DN (PO),01/12/2020,MIRO,,,1000,1220100710,1229900020,A,70,,7000,ANL,CMAN_AC19,2.02012E+13,X,TK_ALV_มือหมุนน้ำมันรอบละลิตร POLO_4120009652,,0,4120009652,10,,0,,,2110493,,1000,DUMMY,,7110000723,0,01/12/2020,100,,,,0,,A,S,,,,,,0,ST,1,,,,,,,2700,2700,2700,2700,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008555,1000,2020,1,1,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200010202,1,1,5.20001E+13,14/12/2020,14/12/2020,078/3881,THB,THB,THB,11200325,1,1,M,RE,Invoice/CN/DN (PO),14/12/2020,MIRO,,,1000,1220100710,1229900020,A,70,,7000,ANL,CMAN_AC19,2.02012E+13,X,KK_ALV_เก้าอี้สานักงาน 2 ตัว_4120009726,,0,4120009726,10,,0,,,2211419,,1000,DUMMY,,7110000729,0,14/12/2020,100,,,,0,,A,S,,,,,,0,,0,,,,,,,3200,3200,3200,3200,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008555,1000,2020,2,2,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200010202,1,1,5.20001E+13,14/12/2020,14/12/2020,078/3881,THB,THB,THB,11200325,1,1,M,RE,Invoice/CN/DN (PO),14/12/2020,MIRO,,,1000,1220100710,1229900020,A,70,,7000,ANL,CMAN_AC19,2.02012E+13,X,KK_ALV_เก้าอี้สานักงาน 2 ตัว_4120009726,,0,4120009726,10,,0,,,2211419,,1000,DUMMY,,7110000730,0,14/12/2020,100,,,,0,,A,S,,,,,,0,,0,,,,,,,3200,3200,3200,3200,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008554,1000,2020,2,2,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200010202,1,1,5.20001E+13,14/12/2020,14/12/2020,078/3881,THB,THB,THB,11200325,1,1,M,RE,Invoice/CN/DN (PO),14/12/2020,MIRO,,,1000,1229900020,2211419,K,70,,7000,ANL,CMAN_AC19,2.02012E+13,X,KK_ALV_เก้าอี้สานักงาน 2 ตัว_4120009726,,0,4120009726,10,,0,,1003,,,1000,DUMMY,,7110000729,0,14/12/2020,100,,,,0,V7,A,S,,,,,,0,SET,1,,,,,,,3200,3200,3200,3200,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008555,1000,2020,3,3,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200010202,1,1,5.20001E+13,14/12/2020,14/12/2020,078/3881,THB,THB,THB,11200325,1,1,M,RE,Invoice/CN/DN (PO),14/12/2020,MIRO,,,1000,1229900020,1220100710,A,75,,7000,ANL,CMAN_AC19,2.02012E+13,X,KK_ALV_เก้าอี้สานักงาน 2 ตัว_4120009726,,0,4120009726,10,,0,,1003,,,1000,DUMMY,,7110000729,0,14/12/2020,100,,,,0,,A,H,,,,,,0,SET,-1,,,,,,,-3200,-3200,-3200,-3200,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008555,1000,2020,4,4,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200010202,1,1,5.20001E+13,14/12/2020,14/12/2020,078/3881,THB,THB,THB,11200325,1,1,M,RE,Invoice/CN/DN (PO),14/12/2020,MIRO,,,1000,1229900020,1220100710,A,75,,7000,ANL,CMAN_AC19,2.02012E+13,X,KK_ALV_เก้าอี้สานักงาน 2 ตัว_4120009726,,0,4120009726,10,,0,,1003,,,1000,DUMMY,,7110000730,0,14/12/2020,100,,,,0,,A,H,,,,,,0,SET,-1,,,,,,,-3200,-3200,-3200,-3200,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008182,1000,2020,2,2,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200009750,1,1,5.20001E+13,01/12/2020,19/11/2020,30/4415,THB,THB,THB,11200012,1,1,M,RE,Invoice/CN/DN (PO),01/12/2020,MIRO,,,1000,1229900020,2110493,K,70,,7000,ANL,CMAN_AC19,2.02012E+13,X,TK_ALV_มือหมุนน้ำมันรอบละลิตร POLO_4120009652,,0,4120009652,10,,0,,1002,,,1000,DUMMY,,7110000723,0,01/12/2020,100,,,,0,V7,A,S,,,,,,0,ST,1,,,,,,,2700,2700,2700,2700,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008183,1000,2020,2,2,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200009750,1,1,5.20001E+13,01/12/2020,19/11/2020,30/4415,THB,THB,THB,11200012,1,1,M,RE,Invoice/CN/DN (PO),01/12/2020,MIRO,,,1000,1229900020,1220100710,A,75,,7000,ANL,CMAN_AC19,2.02012E+13,X,TK_ALV_มือหมุนน้ำมันรอบละลิตร POLO_4120009652,,0,4120009652,10,,0,,1002,,,1000,DUMMY,,7110000723,0,01/12/2020,100,,,,0,,A,H,,,,,,0,ST,-1,,,,,,,-2700,-2700,-2700,-2700,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,5100008554,1000,2020,3,3,RMRP,ใบแจ้งหนี้ขาเข้า,RMRP,,2020,5200010202,1,1,5.20001E+13,14/12/2020,14/12/2020,078/3881,THB,THB,THB,11200325,1,1,M,RE,Invoice/CN/DN (PO),14/12/2020,MIRO,,,1000,1229900020,2211419,K,70,,7000,ANL,CMAN_AC19,2.02012E+13,X,KK_ALV_เก้าอี้สานักงาน 2 ตัว_4120009726,,0,4120009726,10,,0,,1003,,,1000,DUMMY,,7110000730,0,14/12/2020,100,,,,0,V7,A,S,,,,,,0,SET,1,,,,,,,3200,3200,3200,3200,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
0L,4200000282,1000,2020,1,1,RFBU,การผ่านรายการ FI,AMDP,,10002020,22,1,0,2210002020,31/12/2020,31/12/2020,,THB,THB,THB,AFB/01/2020/012/02,0.00E+00,0.00E+00,M,AF,Depreciation Posting,31/12/2020,AFABN,,,1000,1220200120,5410100120,S,75,,7000,ANL,CMAN_AC07,2.02101E+13,X,AFB/01/2020/012/02,,0,,0,,0,,,,,1000,DUMMY,,1210000179,0,31/12/2020,500,,,,0,,A,H,,,,,,0,,0,,,,,,,-1759.21,-1759.21,-1759.21,-1759.21,31/01/2026,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4,26:14.3,PTF_INIT_SAP_GL_TRANS_D,b86d9fdc-bcdd-44fc-a544-1c2df03986a4
