emp_no	cost_center	desc	start_date	end_date
101850	10AC010000	Accounting Division	2018-01-01	9999-12-31
101577	10AC011000	Affiliate Company Accounting Department	2018-01-01	9999-12-31
101713	10AC011000	Affiliate Company Accounting Department	2018-01-01	9999-12-31
101811	10AC011000	Affiliate Company Accounting Department	2018-01-01	9999-12-31
101851	10AC011000	Affiliate Company Accounting Department	2018-01-01	9999-12-31
101859	10AC011000	Affiliate Company Accounting Department	2018-01-01	9999-12-31
101862	10AC011000	Affiliate Company Accounting Department	2018-01-01	9999-12-31
100710	10AC012000	Accounting Department	2018-01-01	9999-12-31
100838	10AC012000	Accounting Department	2018-01-01	9999-12-31
101363	10AC012000	Accounting Department	2018-01-01	9999-12-31
101430	10AC012000	Accounting Department	2018-01-01	9999-12-31
101572	10AC012000	Accounting Department	2018-01-01	9999-12-31
101663	10AC012000	Accounting Department	2018-01-01	9999-12-31
101853	10AC012000	Accounting Department	2018-01-01	9999-12-31
101898	10AC012000	Accounting Department	2018-01-01	9999-12-31
101907	10AC012000	Accounting Department	2018-01-01	9999-12-31
100161	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100359	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100381	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100456	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100559	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100589	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100713	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100970	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
101880	10AC013000	Plant Accounting Department	2018-01-01	9999-12-31
100427	10AC020000	Budgeting and Cost Accounting Division	2022-07-01	9999-12-31
101032	10AC020000	Budgeting and Cost Accounting Division	2022-07-01	9999-12-31
101218	10AC020000	Budgeting and Cost Accounting Division	2022-07-01	9999-12-31
100428	10AD015000	People Care (BKK)	2024-03-01	9999-12-31
100534	10AD015000	People Care (BKK)	2024-03-01	9999-12-31
100107	10AT010000	Automation Division	2023-01-01	9999-12-31
101425	10AT011000	Automation Department	2023-01-01	9999-12-31
101514	10AT011000	Automation Department	2023-01-01	9999-12-31
101660	10AT011000	Automation Department	2023-01-01	9999-12-31
101892	10AT011000	Automation Department	2023-01-01	9999-12-31
101341	10CA010000	Government and Community Relations	2018-01-01	9999-12-31
101336	10CA011000	Community Relations	2018-01-01	9999-12-31
101524	10CA011000	Community Relations	2018-01-01	9999-12-31
101523	10CA013000	Government Relations Department	2018-01-01	9999-12-31
101818	10CA013000	Government Relations Department	2018-01-01	9999-12-31
101895	10CA013000	Government Relations Department	2018-01-01	9999-12-31
101316	10CM000000	Chief Commercial Officers	2018-01-01	9999-12-31
101754	10CM000000	Chief Commercial Officers	2018-01-01	9999-12-31
101429	10CM010000	Commercial Market 1 Division	2018-01-01	9999-12-31
100505	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
100664	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
100833	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
101725	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
101800	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
101828	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
101874	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
101900	10CM011000	Commercial Market 1 Department	2018-01-01	9999-12-31
101567	10CM021000	Commercial Market 2 Department	2018-01-01	9999-12-31
101886	10CM021000	Commercial Market 2 Department	2018-01-01	9999-12-31
101632	10CS010000	Corporate Strategy Division	2021-01-01	9999-12-31
100567	10CS030000	Corporate Affairs Division	2023-01-01	9999-12-31
AUS0010	10EM010000	Industrial Technology Division	2023-01-01	9999-12-31
	10EM010000	Industrial Technology Division	2023-01-01	9999-12-31
100001	10EX000000	Chief Executive Officer	2018-01-01	9999-12-31
10t018	10EX000000	Chief Executive Officer	2018-01-01	9999-12-31
101458	10FN010000	Finance Division	2018-01-01	9999-12-31
100145	10FN011000	Financial Management Department	2018-01-01	9999-12-31
100706	10FN011000	Financial Management Department	2018-01-01	9999-12-31
101140	10FN011000	Financial Management Department	2018-01-01	9999-12-31
101185	10FN011000	Financial Management Department	2018-01-01	9999-12-31
101748	10FN011000	Financial Management Department	2018-01-01	9999-12-31
101001	10FN014000	Corporate Finance Management Department	2021-01-01	9999-12-31
101459	10FN014000	Corporate Finance Management Department	2021-01-01	9999-12-31
101904	10FN014000	Corporate Finance Management Department	2021-01-01	9999-12-31
100941	10GE000000	General	2018-01-01	9999-12-31
101003	10GE000000	General	2018-01-01	9999-12-31
101036	10GE000000	General	2018-01-01	9999-12-31
